"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"168","Washington, DC","151","100 3rd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",816,592,1123
"168","Washington, DC","152","600 Acker Place Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1007,739,1370
"168","Washington, DC","153","900 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1300,988,1710
"168","Washington, DC","154","200 M Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",982,718,1342
"168","Washington, DC","155","100 T Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1134,861,1492
"168","Washington, DC","156","100 13th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1135,822,1565
"168","Washington, DC","157","300 U Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1199,891,1611
"168","Washington, DC","158","300 Burbank Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1496,1069,2092
"168","Washington, DC","159","1100 45th Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1628,1189,2227
"168","Washington, DC","160","500 42nd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1349,932,1950
"168","Washington, DC","161","4900 Eads Place Northeast, Lincoln Heights, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1482,1044,2102
"168","Washington, DC","162","800 Washburn Arts Center, Florida Avenue Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1306,967,1762
"168","Washington, DC","163","1300 Mount Olivet Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1501,1102,2043
"168","Washington, DC","164","1700 Lang Place Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1436,1073,1921
"168","Washington, DC","165","800 21st Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1376,1026,1844
"168","Washington, DC","166","1300 Orren Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1423,1065,1900
"168","Washington, DC","167","4100 1st Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1309,953,1797
"168","Washington, DC","168","1800 E Street Northeast, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",181,74,438
"168","Washington, DC","169","Meadow Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1591,1177,2149
"168","Washington, DC","170","900 Brentwood Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1395,1034,1880
"168","Washington, DC","171","4200 4th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1432,1050,1952
"168","Washington, DC","172","700 55th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1459,1081,1968
"168","Washington, DC","173","4500 45th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1096,851,1410
"168","Washington, DC","174","Massachusetts-39th Trail, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",942,726,1221
"168","Washington, DC","175","2100 Lincoln Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1186,907,1550
"168","Washington, DC","176","4800 Meade Street Northeast, Deanwood, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1378,970,1956
"168","Washington, DC","177","6000 Clay Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1693,1236,2317
"168","Washington, DC","178","3100 Chancellor's Way Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1387,1062,1810
"168","Washington, DC","179","1500 Kearny Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1604,1229,2092
"168","Washington, DC","180","5100 39th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1184,942,1486
"168","Washington, DC","181","400 Butternut Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1738,1344,2246
"168","Washington, DC","182","3600 Alton Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1026,807,1303
"168","Washington, DC","183","3300 6th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1402,1019,1928
"168","Washington, DC","184","700 Fern Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1555,1227,1970
"168","Washington, DC","185","700 Quackenbos Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1614,1233,2111
"168","Washington, DC","186","20001, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",515,338,784
"168","Washington, DC","187","1600 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",709,529,949
"168","Washington, DC","188","4200 Martin Luther King Junior Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1100,793,1524
"168","Washington, DC","189","100 Wilmington Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1236,900,1697
"168","Washington, DC","190","900 M Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",687,494,954
"168","Washington, DC","191","1300 Gallatin Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1242,947,1628
"168","Washington, DC","192","5400 8th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1492,1128,1973
"168","Washington, DC","193","3500 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1212,923,1590
"168","Washington, DC","194","700 Lamont Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1228,950,1585
"168","Washington, DC","195","500 Lamont Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1317,1024,1693
"168","Washington, DC","196","2400 5th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1047,788,1390
"168","Washington, DC","197","2400 Sherman Avenue Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1070,820,1395
"168","Washington, DC","198","0 Peluca Alley, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",823,609,1111
"168","Washington, DC","199","1700 Kalorama Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",761,567,1020
"168","Washington, DC","200","2400 20th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",578,423,789
"168","Washington, DC","201","1800 California Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",572,420,778
"168","Washington, DC","202","1300 Talbert Terrace Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1192,835,1701
"168","Washington, DC","203","1100 Connecticut Avenue Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",193,96,386
"168","Washington, DC","204","Rafik B. Hariri Building, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",555,377,816
"168","Washington, DC","205","4000 Highwood Court Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",802,603,1066
"168","Washington, DC","206","0 Observatory Circle Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",722,532,978
